n_trades,win_rate,avg_pnl,profit_factor,test_sharpe,avg_turn
0,,,,0.0,0.0
1,1.0,0.095213024013453,inf,1.1781335190293187,0.031746031746031744
2,1.0,0.005979485384185579,inf,3.186013958399033,0.06349206349206349
1,1.0,0.11818723674339893,inf,1.7234583292831007,0.04761904761904761
1,1.0,0.02516088824623819,inf,2.5205862627918125,0.031746031746031744
2,1.0,0.030667481881484493,inf,0.3838028953435093,0.07936507936507936
0,,,,-2.379572273365501,0.015873015873015872
1,1.0,0.017369061288943,inf,2.8349466160948946,0.047619047619047616
4,0.5,-0.0047438853408931225,0.5572734588822916,-0.18906610932158593,0.12698412698412698
3,1.0,0.00238143535383221,inf,0.8243125735051092,0.09523809523809523
1,1.0,0.019337338592003706,inf,2.3270751759545987,0.047619047619047616
3,1.0,0.10480919433921916,inf,0.4142917843183952,0.11111111111111109
2,1.0,0.06065467845141792,inf,3.2081939192322415,0.06349206349206349
1,1.0,0.011287793381736577,inf,1.1608939929884152,0.047619047619047616
0,,,,2.4597874904178747,0.015873015873015872
1,1.0,0.006539689187709863,inf,1.3298433256902404,0.04761904761904761
0,,,,-2.691424821542891,0.015873015873015872
0,,,,1.523115959467264,0.01587301587301587
1,1.0,0.07968502954051782,inf,2.1193113260994894,0.031746031746031744
1,1.0,0.06042200029189582,inf,0.5225705593694184,0.047619047619047616
1,1.0,0.16067643381938757,inf,2.0002863916607123,0.031746031746031744
1,1.0,0.588846528138206,inf,3.45559127306301,0.031746031746031744
1,1.0,0.003439890507569654,inf,0.6983114269292554,0.0476190476190476
0,,,,0.0,0.0
0,,,,0.0,0.0
1,1.0,0.01071559626810048,inf,2.207777540757714,0.047619047619047616
1,1.0,0.1752176665034928,inf,0.6033820190380069,0.04761904761904761
0,,,,0.44021100021539694,0.015873015873015872
1,1.0,0.1885171196409543,inf,-0.044911887371273725,0.04761904761904761
1,1.0,0.08400758049444024,inf,2.4581816438370345,0.031746031746031744
0,,,,-1.3711616827346575,0.015873015873015872
1,1.0,0.1682725602966142,inf,4.224656658311697,0.031746031746031744
3,1.0,0.0015324442934561144,inf,1.231972452249933,0.09523809523809523
2,1.0,0.12207056649015946,inf,2.2294626980718126,0.06349206349206349
0,,,,0.3904246442609595,0.015873015873015872
2,0.0,-0.022273525065235444,0.0,0.40212782984984685,0.07936507936507936
2,1.0,0.1437048801711338,inf,2.861117115137935,0.06349206349206349
0,,,,0.0,0.0
1,0.0,-0.06287771010123411,0.0,-1.286496644952745,0.047619047619047616
0,,,,0.0,0.0
1,1.0,0.3675503358995793,inf,3.4943695460296365,0.031746031746031744
2,1.0,0.01992413957488981,inf,0.8600676268131804,0.07936507936507936
1,1.0,0.07904682412940867,inf,0.05861336343723041,0.047619047619047616
0,,,,-0.26578494805697367,0.015873015873015872
0,,,,0.0,0.0
2,0.5,0.001772755416949101,1.312829546636813,0.5172361066415441,0.07936507936507936
1,1.0,0.05176247712131676,inf,-0.00650293111123866,0.04761904761904761
1,1.0,0.09993552952030704,inf,2.2770582243832704,0.047619047619047616
3,1.0,0.0036962574859993325,inf,1.8861421691440057,0.1111111111111111
0,,,,-0.02026644651466365,0.015873015873015872
4,0.75,0.0405775635801755,60.9005093911201,1.3090328834458789,0.14285714285714285
1,1.0,0.06472758822413893,inf,0.1942641352103485,0.047619047619047616
2,1.0,0.038292259778195725,inf,0.793890630937065,0.06349206349206349
0,,,,-1.076657641800283,0.015873015873015872
1,1.0,0.0481791086500194,inf,4.698526514556793,0.031746031746031744
3,1.0,0.005613645540939609,inf,2.4917662935323954,0.11111111111111109
2,1.0,0.006520908887986621,inf,1.1102338300320809,0.0634920634920635
1,1.0,0.013991013692243204,inf,0.4717250500548652,0.047619047619047616
1,1.0,0.1800986096911954,inf,1.8483369505456566,0.031746031746031744
0,,,,0.0,0.0
3,1.0,0.07112665558203408,inf,2.0754231182558343,0.09523809523809523
3,1.0,0.03522025622291314,inf,1.930642830136815,0.09523809523809523
2,1.0,0.001607009212692856,inf,-0.2660490669031732,0.07936507936507936
0,,,,0.0,0.0
1,1.0,0.3322619472316972,inf,2.2584660015609654,0.031746031746031744
4,0.5,-0.0005713645959633251,0.5778301106159218,-0.2578418266013821,0.12698412698412698
0,,,,-1.9999999978833995,0.015873015873015872
1,1.0,0.024323151561503664,inf,1.7472653481917986,0.031746031746031744
1,1.0,0.06965001903691226,inf,1.0867977257507693,0.047619047619047616
2,1.0,0.08387978120932105,inf,2.946651704270093,0.06349206349206349
4,0.5,0.010824052302805448,4.368985762689733,0.8571043232175863,0.12698412698412698
2,1.0,0.04478265100405632,inf,0.9174739348829776,0.06349206349206349
1,1.0,0.004247266199300492,inf,0.49524836961661284,0.047619047619047616
1,1.0,0.00959588067667383,inf,0.14231104097006614,0.047619047619047616
1,1.0,0.04885521789600178,inf,1.568606595964366,0.047619047619047616
0,,,,0.4514983362075946,0.015873015873015872
2,1.0,0.002715357910131222,inf,1.4536465899496627,0.06349206349206349
1,1.0,0.08076186112139982,inf,2.2697406296245006,0.031746031746031744
1,1.0,0.3418076800061225,inf,4.173370083505485,0.04761904761904761
1,1.0,0.007017945589316454,inf,1.0360238872489689,0.04761904761904761
0,,,,0.0,0.0
1,1.0,0.004268572323119502,inf,0.6169473990596664,0.047619047619047616
1,1.0,0.04667384170222788,inf,1.8000576742728318,0.047619047619047616
0,,,,0.0,0.0
1,1.0,0.04135705134421053,inf,2.3416817119638322,0.031746031746031744
